Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.397e-33 1.778e-33 2.235e-33 2.783e-33 3.510e-33 4.439e-33 5.341e-33 6.374e-33
 7.669e-33 9.277e-33 1.127e-32 1.372e-32 1.667e-32 1.977e-32 2.266e-32 2.596e-32
 2.977e-32 3.425e-32 3.948e-32 4.554e-32 5.232e-32 5.776e-32 6.372e-32 7.022e-32
 7.743e-32 8.528e-32 9.376e-32 1.029e-31 1.097e-31 1.160e-31 1.223e-31 1.291e-31
 1.360e-31 1.428e-31 1.496e-31 1.543e-31 1.569e-31 1.596e-31 1.628e-31 1.658e-31
 1.686e-31 1.712e-31 1.731e-31 1.721e-31 1.712e-31 1.701e-31 1.679e-31 1.647e-31
 1.599e-31 1.536e-31 1.442e-31 1.353e-31 1.255e-31 1.145e-31 1.026e-31 9.028e-32
 7.791e-32 6.634e-32 5.742e-32 4.945e-32 4.251e-32 3.660e-32 3.165e-32 2.756e-32
 2.457e-32 2.234e-32 2.050e-32 1.902e-32 1.790e-32 1.712e-32 1.669e-32 1.675e-32
 1.689e-32 1.722e-32 1.774e-32 1.850e-32 1.949e-32 2.069e-32 2.203e-32 2.338e-32
 2.473e-32 2.618e-32 2.766e-32 2.922e-32 3.080e-32 3.235e-32 3.386e-32 3.517e-32
 3.648e-32 3.777e-32 3.896e-32 4.007e-32 4.111e-32 4.207e-32 4.270e-32 4.323e-32
 4.366e-32 4.397e-32 4.419e-32 4.434e-32 4.438e-32 4.417e-32 4.377e-32 4.325e-32
 4.260e-32 4.203e-32 4.135e-32 4.057e-32 3.965e-32 3.855e-32 3.736e-32 3.618e-32
 3.515e-32 3.407e-32 3.296e-32 3.181e-32 3.059e-32 2.937e-32 2.831e-32 2.738e-32
 2.646e-32 2.556e-32 2.467e-32 2.377e-32 2.287e-32 2.218e-32 2.155e-32 2.095e-32
 2.037e-32 1.983e-32 1.929e-32 1.876e-32 1.838e-32 1.802e-32 1.768e-32 1.736e-32
 1.707e-32 1.680e-32 1.651e-32 1.629e-32 1.608e-32 1.589e-32 1.572e-32 1.555e-32
 1.541e-32 1.525e-32 1.510e-32 1.496e-32 1.482e-32 1.470e-32 1.458e-32 1.447e-32
 1.436e-32 1.421e-32 1.406e-32 1.392e-32 1.378e-32 1.365e-32 1.353e-32 1.343e-32
 1.324e-32 1.305e-32 1.287e-32 1.270e-32 1.253e-32 1.237e-32 1.223e-32 1.206e-32
 1.188e-32 1.170e-32 1.153e-32 1.136e-32 1.121e-32 1.107e-32 1.092e-32 1.075e-32
Lz[Wm**3] for tau[ms]=   10.0
 1.771e-37 2.912e-37 4.784e-37 7.841e-37 1.280e-36 2.077e-36 3.327e-36 5.243e-36
 7.429e-36 9.943e-36 1.302e-35 1.680e-35 2.192e-35 2.994e-35 4.396e-35 6.526e-35
 9.186e-35 1.309e-34 1.870e-34 2.651e-34 3.692e-34 5.094e-34 6.899e-34 8.533e-34
 1.064e-33 1.345e-33 1.726e-33 2.241e-33 2.937e-33 3.856e-33 4.804e-33 5.887e-33
 7.204e-33 8.793e-33 1.071e-32 1.304e-32 1.584e-32 1.882e-32 2.169e-32 2.502e-32
 2.889e-32 3.340e-32 3.864e-32 4.469e-32 5.144e-32 5.687e-32 6.279e-32 6.920e-32
 7.628e-32 8.396e-32 9.225e-32 1.011e-31 1.078e-31 1.138e-31 1.198e-31 1.263e-31
 1.327e-31 1.390e-31 1.451e-31 1.493e-31 1.514e-31 1.534e-31 1.558e-31 1.579e-31
 1.594e-31 1.598e-31 1.584e-31 1.525e-31 1.451e-31 1.358e-31 1.234e-31 1.082e-31
 9.113e-32 7.375e-32 5.725e-32 4.578e-32 3.644e-32 2.888e-32 2.287e-32 1.815e-32
 1.448e-32 1.173e-32 1.000e-32 8.613e-33 7.516e-33 6.677e-33 6.075e-33 5.703e-33
 5.600e-33 5.641e-33 5.819e-33 6.167e-33 6.707e-33 7.461e-33 8.452e-33 9.621e-33
 1.080e-32 1.213e-32 1.359e-32 1.522e-32 1.698e-32 1.885e-32 2.063e-32 2.239e-32
 2.414e-32 2.590e-32 2.762e-32 2.932e-32 3.095e-32 3.244e-32 3.384e-32 3.509e-32
 3.625e-32 3.730e-32 3.816e-32 3.883e-32 3.932e-32 3.958e-32 3.940e-32 3.886e-32
 3.786e-32 3.631e-32 3.457e-32 3.256e-32 3.024e-32 2.764e-32 2.491e-32 2.219e-32
 1.960e-32 1.764e-32 1.584e-32 1.420e-32 1.273e-32 1.139e-32 1.020e-32 9.234e-33
 8.517e-33 7.875e-33 7.311e-33 6.813e-33 6.363e-33 5.967e-33 5.679e-33 5.467e-33
 5.288e-33 5.142e-33 5.024e-33 4.912e-33 4.815e-33 4.778e-33 4.768e-33 4.780e-33
 4.815e-33 4.875e-33 4.927e-33 4.954e-33 5.013e-33 5.084e-33 5.168e-33 5.264e-33
 5.371e-33 5.486e-33 5.528e-33 5.580e-33 5.633e-33 5.686e-33 5.737e-33 5.785e-33
 5.829e-33 5.831e-33 5.814e-33 5.789e-33 5.758e-33 5.719e-33 5.674e-33 5.620e-33
 5.566e-33 5.481e-33 5.391e-33 5.298e-33 5.201e-33 5.100e-33 5.002e-33 4.925e-33
 4.800e-33 4.676e-33 4.556e-33 4.439e-33 4.324e-33 4.221e-33 4.133e-33 4.026e-33
 3.915e-33 3.806e-33 3.704e-33 3.609e-33 3.529e-33 3.456e-33 3.380e-33 3.300e-33
Lz[Wm**3] for tau[ms]=  100.0
 1.771e-37 2.907e-37 4.748e-37 7.660e-37 1.203e-36 1.794e-36 2.468e-36 3.184e-36
 3.864e-36 4.758e-36 6.415e-36 9.410e-36 1.462e-35 2.350e-35 3.845e-35 6.050e-35
 8.742e-35 1.250e-34 1.750e-34 2.381e-34 3.169e-34 4.289e-34 5.834e-34 7.448e-34
 9.630e-34 1.257e-33 1.650e-33 2.176e-33 2.875e-33 3.795e-33 4.746e-33 5.831e-33
 7.145e-33 8.728e-33 1.063e-32 1.295e-32 1.574e-32 1.871e-32 2.159e-32 2.492e-32
 2.880e-32 3.331e-32 3.855e-32 4.460e-32 5.135e-32 5.678e-32 6.270e-32 6.909e-32
 7.616e-32 8.383e-32 9.209e-32 1.010e-31 1.076e-31 1.136e-31 1.196e-31 1.260e-31
 1.324e-31 1.386e-31 1.447e-31 1.488e-31 1.508e-31 1.528e-31 1.550e-31 1.569e-31
 1.579e-31 1.575e-31 1.544e-31 1.455e-31 1.342e-31 1.203e-31 1.032e-31 8.442e-32
 6.604e-32 4.977e-32 3.626e-32 2.779e-32 2.131e-32 1.633e-32 1.254e-32 9.684e-33
 7.547e-33 6.028e-33 5.171e-33 4.513e-33 4.031e-33 3.710e-33 3.548e-33 3.550e-33
 3.742e-33 4.014e-33 4.402e-33 4.941e-33 5.658e-33 6.578e-33 7.723e-33 9.014e-33
 1.031e-32 1.175e-32 1.332e-32 1.503e-32 1.687e-32 1.882e-32 2.063e-32 2.244e-32
