Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
     200           5 # of Te values, dwell times
 8.954e-33 9.014e-33 9.068e-33 9.117e-33 9.158e-33 9.192e-33 9.164e-33 9.113e-33
 9.058e-33 8.998e-33 8.933e-33 8.864e-33 8.790e-33 8.711e-33 8.629e-33 7.943e-33
 7.623e-33 7.455e-33 7.347e-33 7.261e-33 7.184e-33 7.126e-33 7.074e-33 7.023e-33
 6.977e-33 6.937e-33 6.907e-33 6.895e-33 6.912e-33 6.977e-33 6.995e-33 7.029e-33
 7.082e-33 7.157e-33 7.261e-33 7.399e-33 7.578e-33 7.808e-33 8.101e-33 8.469e-33
 8.930e-33 8.904e-33 8.859e-33 8.814e-33 8.770e-33 8.726e-33 8.683e-33 8.639e-33
 8.604e-33 8.571e-33 8.540e-33 8.508e-33 8.476e-33 8.445e-33 8.414e-33 8.384e-33
Lz[Wm**3] for tau[ms]=   10.0
 1.366e-39 2.586e-39 4.882e-39 9.208e-39 1.735e-38 3.266e-38 6.130e-38 1.145e-37
 2.118e-37 3.691e-37 5.481e-37 7.932e-37 1.105e-36 1.460e-36 1.802e-36 2.079e-36
 2.255e-36 2.447e-36 2.723e-36 3.182e-36 3.982e-36 5.393e-36 7.919e-36 1.252e-35
 2.007e-35 2.868e-35 4.152e-35 6.053e-35 8.825e-35 1.276e-34 1.820e-34 2.551e-34
 3.519e-34 4.791e-34 6.464e-34 8.485e-34 1.028e-33 1.245e-33 1.506e-33 1.821e-33
 2.203e-33 2.666e-33 3.228e-33 3.731e-33 4.296e-33 4.938e-33 5.659e-33 6.462e-33
 7.356e-33 8.359e-33 9.433e-33 1.040e-32 1.150e-32 1.275e-32 1.417e-32 1.580e-32
 1.765e-32 1.969e-32 2.192e-32 2.401e-32 2.586e-32 2.774e-32 2.963e-32 3.151e-32
 3.336e-32 3.506e-32 3.644e-32 3.781e-32 3.915e-32 4.048e-32 4.178e-32 4.305e-32
 4.426e-32 4.537e-32 4.627e-32 4.695e-32 4.742e-32 4.757e-32 4.726e-32 4.635e-32
 4.467e-32 4.211e-32 3.864e-32 3.437e-32 2.958e-32 2.542e-32 2.221e-32 1.918e-32
 1.640e-32 1.393e-32 1.177e-32 9.898e-33 8.388e-33 7.408e-33 6.541e-33 5.775e-33
 5.100e-33 4.507e-33 3.985e-33 3.528e-33 3.193e-33 2.954e-33 2.737e-33 2.538e-33
 2.358e-33 2.196e-33 2.051e-33 1.923e-33 1.813e-33 1.747e-33 1.701e-33 1.667e-33
 1.645e-33 1.638e-33 1.647e-33 1.671e-33 1.703e-33 1.747e-33 1.803e-33 1.872e-33
 1.954e-33 2.049e-33 2.156e-33 2.273e-33 2.355e-33 2.423e-33 2.490e-33 2.553e-33
 2.610e-33 2.656e-33 2.689e-33 2.704e-33 2.699e-33 2.671e-33 2.621e-33 2.553e-33
 2.479e-33 2.400e-33 2.317e-33 2.231e-33 2.145e-33 2.060e-33 1.985e-33 1.923e-33
 1.864e-33 1.808e-33 1.754e-33 1.702e-33 1.653e-33 1.606e-33 1.564e-33 1.524e-33
 1.486e-33 1.450e-33 1.415e-33 1.381e-33 1.348e-33 1.317e-33 1.286e-33 1.201e-33
 1.153e-33 1.122e-33 1.097e-33 1.076e-33 1.057e-33 1.042e-33 1.029e-33 1.016e-33
 1.004e-33 9.937e-34 9.845e-34 9.774e-34 9.736e-34 9.749e-34 9.737e-34 9.743e-34
 9.770e-34 9.822e-34 9.903e-34 1.002e-33 1.018e-33 1.039e-33 1.067e-33 1.103e-33
 1.148e-33 1.145e-33 1.140e-33 1.136e-33 1.131e-33 1.127e-33 1.123e-33 1.119e-33
 1.116e-33 1.115e-33 1.113e-33 1.111e-33 1.110e-33 1.108e-33 1.107e-33 1.105e-33
Lz[Wm**3] for tau[ms]=  100.0
 1.976e-39 3.838e-39 7.428e-39 1.435e-38 2.764e-38 5.294e-38 1.003e-37 1.858e-37
 3.307e-37 5.296e-37 7.042e-37 8.736e-37 1.008e-36 1.096e-36 1.148e-36 1.204e-36
 1.290e-36 1.444e-36 1.726e-36 2.238e-36 3.165e-36 4.860e-36 8.021e-36 1.402e-35
 2.406e-35 3.535e-35 5.159e-35 7.436e-35 1.055e-34 1.472e-34 2.023e-34 2.750e-34
 3.704e-34 4.960e-34 6.616e-34 8.624e-34 1.042e-33 1.258e-33 1.520e-33 1.838e-33
 2.225e-33 2.697e-33 3.270e-33 3.780e-33 4.350e-33 4.990e-33 5.703e-33 6.496e-33
 7.380e-33 8.383e-33 9.469e-33 1.046e-32 1.158e-32 1.287e-32 1.434e-32 1.601e-32
 1.789e-32 1.995e-32 2.218e-32 2.425e-32 2.608e-32 2.792e-32 2.977e-32 3.160e-32
 3.340e-32 3.504e-32 3.640e-32 3.773e-32 3.904e-32 4.033e-32 4.159e-32 4.282e-32
 4.396e-32 4.495e-32 4.565e-32 4.605e-32 4.607e-32 4.552e-32 4.419e-32 4.192e-32
 3.864e-32 3.444e-32 2.965e-32 2.466e-32 1.989e-32 1.622e-32 1.360e-32 1.131e-32
 9.342e-33 7.675e-33 6.281e-33 5.125e-33 4.220e-33 3.636e-33 3.132e-33 2.698e-33
 2.325e-33 2.005e-33 1.730e-33 1.496e-33 1.333e-33 1.227e-33 1.131e-33 1.046e-33
 9.702e-34 9.043e-34 8.484e-34 8.032e-34 7.698e-34 7.638e-34 7.707e-34 7.854e-34
 8.091e-34 8.435e-34 8.902e-34 9.435e-34 9.989e-34 1.062e-33 1.133e-33 1.210e-33
 1.294e-33 1.382e-33 1.470e-33 1.553e-33 1.599e-33 1.628e-33 1.645e-33 1.650e-33
 1.641e-33 1.616e-33 1.575e-33 1.522e-33 1.457e-33 1.383e-33 1.305e-33 1.234e-33
 1.169e-33 1.105e-33 1.045e-33 9.873e-34 9.330e-34 8.818e-34 8.371e-34 7.992e-34
 7.636e-34 7.303e-34 6.991e-34 6.699e-34 6.425e-34 6.168e-34 5.948e-34 5.749e-34
 5.561e-34 5.383e-34 5.214e-34 5.054e-34 4.902e-34 4.758e-34 4.620e-34 4.458e-34
 4.341e-34 4.238e-34 4.142e-34 4.052e-34 3.966e-34 3.896e-34 3.834e-34 3.775e-34
 3.718e-34 3.665e-34 3.614e-34 3.567e-34 3.523e-34 3.485e-34 3.462e-34 3.441e-34
 3.425e-34 3.413e-34 3.406e-34 3.405e-34 3.411e-34 3.423e-34 3.444e-34 3.472e-34
 3.511e-34 3.510e-34 3.508e-34 3.507e-34 3.507e-34 3.508e-34 3.510e-34 3.512e-34
 3.521e-34 3.534e-34 3.548e-34 3.563e-34 3.578e-34 3.595e-34 3.612e-34 3.629e-34
Lz[Wm**3] for tau[ms]= 1000.0
 2.086e-39 4.081e-39 7.962e-39 1.552e-38 3.018e-38 5.837e-38 1.115e-37 2.073e-37
 3.662e-37 5.738e-37 7.425e-37 8.900e-37 9.922e-37 1.046e-36 1.073e-36 1.113e-36
 1.192e-36 1.344e-36 1.628e-36 2.148e-36 3.094e-36 4.834e-36 8.095e-36 1.431e-35
 2.469e-35 3.631e-35 5.292e-35 7.603e-35 1.074e-34 1.492e-34 2.044e-34 2.770e-34
 3.723e-34 4.977e-34 6.631e-34 8.638e-34 1.043e-33 1.260e-33 1.522e-33 1.840e-33
 2.228e-33 2.700e-33 3.274e-33 3.785e-33 4.355e-33 4.995e-33 5.708e-33 6.499e-33
 7.382e-33 8.385e-33 9.473e-33 1.046e-32 1.159e-32 1.288e-32 1.435e-32 1.603e-32
 1.791e-32 1.998e-32 2.221e-32 2.428e-32 2.610e-32 2.794e-32 2.979e-32 3.161e-32
 3.340e-32 3.504e-32 3.639e-32 3.772e-32 3.902e-32 4.031e-32 4.157e-32 4.279e-32
 4.393e-32 4.491e-32 4.558e-32 4.596e-32 4.592e-32 4.528e-32 4.384e-32 4.141e-32
 3.795e-32 3.359e-32 2.867e-32 2.364e-32 1.890e-32 1.529e-32 1.273e-32 1.052e-32
 8.632e-33 7.047e-33 5.730e-33 4.646e-33 3.802e-33 3.258e-33 2.790e-33 2.390e-33
 2.047e-33 1.754e-33 1.505e-33 1.292e-33 1.148e-33 1.055e-33 9.715e-34 8.976e-34
 8.327e-34 7.768e-34 7.303e-34 6.938e-34 6.686e-34 6.691e-34 6.817e-34 7.017e-34
 7.305e-34 7.695e-34 8.203e-34 8.769e-34 9.349e-34 1.000e-33 1.072e-33 1.151e-33
 1.235e-33 1.321e-33 1.407e-33 1.485e-33 1.527e-33 1.550e-33 1.562e-33 1.560e-33
 1.543e-33 1.511e-33 1.464e-33 1.405e-33 1.335e-33 1.260e-33 1.181e-33 1.111e-33
 1.047e-33 9.860e-34 9.283e-34 8.739e-34 8.230e-34 7.753e-34 7.336e-34 6.980e-34
 6.648e-34 6.338e-34 6.048e-34 5.777e-34 5.524e-34 5.287e-34 5.087e-34 4.906e-34
 4.736e-34 4.575e-34 4.423e-34 4.280e-34 4.144e-34 4.016e-34 3.894e-34 3.795e-34
 3.701e-34 3.612e-34 3.527e-34 3.446e-34 3.369e-34 3.307e-34 3.250e-34 3.196e-34
 3.145e-34 3.097e-34 3.051e-34 3.007e-34 2.965e-34 2.926e-34 2.902e-34 2.881e-34
 2.861e-34 2.842e-34 2.825e-34 2.810e-34 2.796e-34 2.783e-34 2.771e-34 2.760e-34
 2.751e-34 2.751e-34 2.753e-34 2.756e-34 2.759e-34 2.763e-34 2.768e-34 2.774e-34
 2.786e-34 2.801e-34 2.818e-34 2.835e-34 2.852e-34 2.871e-34 2.890e-34 2.910e-34
