Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[5-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
         204           4 # of Te values, dwell times
Te[eV]
 5.000e+00 5.195e+00 5.397e+00 5.607e+00 5.825e+00 6.052e+00 6.288e+00 6.533e+00
 6.787e+00 7.051e+00 7.326e+00 7.611e+00 7.907e+00 8.215e+00 8.535e+00 8.867e+00
 9.213e+00 9.571e+00 9.944e+00 1.033e+01 1.073e+01 1.115e+01 1.159e+01 1.204e+01
 1.251e+01 1.299e+01 1.350e+01 1.402e+01 1.457e+01 1.514e+01 1.573e+01 1.634e+01
 1.697e+01 1.764e+01 1.832e+01 1.904e+01 1.978e+01 2.055e+01 2.135e+01 2.218e+01
 2.304e+01 2.394e+01 2.487e+01 2.584e+01 2.684e+01 2.789e+01 2.897e+01 3.010e+01
 3.128e+01 3.249e+01 3.376e+01 3.507e+01 3.644e+01 3.786e+01 3.933e+01 4.086e+01
 4.245e+01 4.411e+01 4.582e+01 4.761e+01 4.946e+01 5.000e+01 5.139e+01 5.339e+01
 5.547e+01 5.762e+01 5.987e+01 6.220e+01 6.462e+01 6.714e+01 6.975e+01 7.247e+01
 7.529e+01 7.822e+01 8.126e+01 8.443e+01 8.772e+01 9.113e+01 9.468e+01 9.837e+01
 1.022e+02 1.062e+02 1.103e+02 1.146e+02 1.191e+02 1.237e+02 1.285e+02 1.335e+02
 1.387e+02 1.441e+02 1.497e+02 1.500e+02 1.556e+02 1.616e+02 1.679e+02 1.744e+02
 1.812e+02 1.883e+02 1.956e+02 2.032e+02 2.112e+02 2.194e+02 2.279e+02 2.368e+02
 2.460e+02 2.556e+02 2.655e+02 2.759e+02 2.866e+02 2.978e+02 3.094e+02 3.214e+02
 3.339e+02 3.469e+02 3.604e+02 3.745e+02 3.891e+02 4.042e+02 4.199e+02 4.363e+02
 4.533e+02 4.709e+02 4.893e+02 5.083e+02 5.281e+02 5.487e+02 5.700e+02 5.922e+02
 6.153e+02 6.392e+02 6.641e+02 6.900e+02 7.168e+02 7.447e+02 7.737e+02 8.039e+02
 8.352e+02 8.677e+02 9.015e+02 9.366e+02 9.730e+02 1.000e+03 1.011e+03 1.050e+03
 1.091e+03 1.134e+03 1.178e+03 1.224e+03 1.271e+03 1.321e+03 1.372e+03 1.426e+03
 1.481e+03 1.539e+03 1.599e+03 1.661e+03 1.726e+03 1.793e+03 1.863e+03 1.935e+03
 2.000e+03 2.010e+03 2.089e+03 2.170e+03 2.255e+03 2.342e+03 2.434e+03 2.528e+03
 2.627e+03 2.729e+03 2.835e+03 2.946e+03 3.060e+03 3.179e+03 3.303e+03 3.432e+03
 3.566e+03 3.704e+03 3.849e+03 3.998e+03 4.154e+03 4.316e+03 4.484e+03 4.658e+03
 4.840e+03 5.028e+03 5.224e+03 5.427e+03 5.639e+03 5.858e+03 6.086e+03 6.323e+03
 6.569e+03 6.825e+03 7.091e+03 7.367e+03 7.654e+03 7.952e+03 8.262e+03 8.583e+03
 8.917e+03 9.265e+03 9.625e+03 1.000e+04
Lz[Wm**3] for tau[ms]=    1.0
 1.641e-32 1.961e-32 2.282e-32 2.593e-32 2.935e-32 3.306e-32 3.704e-32 4.130e-32
 4.589e-32 5.044e-32 5.426e-32 5.838e-32 6.286e-32 6.778e-32 7.323e-32 7.931e-32
 8.608e-32 9.154e-32 9.758e-32 1.043e-31 1.118e-31 1.203e-31 1.299e-31 1.407e-31
 1.501e-31 1.596e-31 1.699e-31 1.809e-31 1.925e-31 2.046e-31 2.171e-31 2.278e-31
 2.364e-31 2.446e-31 2.523e-31 2.591e-31 2.649e-31 2.692e-31 2.714e-31 2.708e-31
 2.688e-31 2.654e-31 2.604e-31 2.539e-31 2.459e-31 2.365e-31 2.274e-31 2.177e-31
 2.076e-31 1.971e-31 1.864e-31 1.756e-31 1.645e-31 1.542e-31 1.441e-31 1.340e-31
 1.238e-31 1.137e-31 1.036e-31 9.374e-32 8.460e-32 8.223e-32 7.646e-32 6.891e-32
 6.208e-32 5.608e-32 5.100e-32 4.691e-32 4.387e-32 4.177e-32 4.037e-32 3.964e-32
 3.954e-32 4.004e-32 4.111e-32 4.274e-32 4.422e-32 4.598e-32 4.808e-32 5.053e-32
 5.332e-32 5.648e-32 6.002e-32 6.316e-32 6.615e-32 6.935e-32 7.278e-32 7.644e-32
 8.033e-32 8.445e-32 8.827e-32 8.842e-32 9.142e-32 9.469e-32 9.810e-32 1.017e-31
 1.054e-31 1.093e-31 1.133e-31 1.162e-31 1.192e-31 1.224e-31 1.257e-31 1.292e-31
 1.328e-31 1.365e-31 1.391e-31 1.415e-31 1.439e-31 1.463e-31 1.485e-31 1.505e-31
 1.524e-31 1.533e-31 1.536e-31 1.536e-31 1.533e-31 1.527e-31 1.517e-31 1.504e-31
 1.486e-31 1.464e-31 1.439e-31 1.413e-31 1.385e-31 1.356e-31 1.325e-31 1.292e-31
 1.259e-31 1.226e-31 1.191e-31 1.157e-31 1.122e-31 1.087e-31 1.051e-31 1.018e-31
 9.853e-32 9.533e-32 9.219e-32 8.910e-32 8.608e-32 8.396e-32 8.312e-32 8.038e-32
 7.783e-32 7.536e-32 7.297e-32 7.066e-32 6.844e-32 6.631e-32 6.432e-32 6.252e-32
 6.080e-32 5.916e-32 5.760e-32 5.612e-32 5.471e-32 5.339e-32 5.219e-32 5.105e-32
 5.011e-32 4.996e-32 4.893e-32 4.795e-32 4.703e-32 4.615e-32 4.532e-32 4.451e-32
 4.374e-32 4.299e-32 4.228e-32 4.159e-32 4.093e-32 4.028e-32 3.963e-32 3.900e-32
 3.838e-32 3.778e-32 3.719e-32 3.661e-32 3.604e-32 3.547e-32 3.490e-32 3.435e-32
 3.380e-32 3.326e-32 3.274e-32 3.222e-32 3.170e-32 3.119e-32 3.068e-32 3.019e-32
 2.970e-32 2.922e-32 2.874e-32 2.828e-32 2.782e-32 2.738e-32 2.694e-32 2.650e-32
 2.607e-32 2.565e-32 2.524e-32 2.485e-32
Lz[Wm**3] for tau[ms]=   10.0
 2.116e-32 2.443e-32 2.750e-32 3.035e-32 3.344e-32 3.679e-32 4.044e-32 4.446e-32
 4.890e-32 5.342e-32 5.731e-32 6.158e-32 6.628e-32 7.148e-32 7.726e-32 8.373e-32
 9.094e-32 9.681e-32 1.033e-31 1.106e-31 1.187e-31 1.278e-31 1.380e-31 1.494e-31
 1.594e-31 1.692e-31 1.797e-31 1.908e-31 2.022e-31 2.139e-31 2.257e-31 2.353e-31
 2.426e-31 2.491e-31 2.545e-31 2.585e-31 2.606e-31 2.605e-31 2.580e-31 2.534e-31
 2.475e-31 2.402e-31 2.317e-31 2.221e-31 2.117e-31 2.005e-31 1.905e-31 1.804e-31
 1.701e-31 1.596e-31 1.488e-31 1.377e-31 1.263e-31 1.155e-31 1.050e-31 9.440e-32
 8.391e-32 7.366e-32 6.388e-32 5.481e-32 4.704e-32 4.514e-32 4.074e-32 3.557e-32
 3.161e-32 2.887e-32 2.732e-32 2.687e-32 2.736e-32 2.823e-32 2.966e-32 3.159e-32
 3.399e-32 3.686e-32 4.020e-32 4.406e-32 4.739e-32 5.098e-32 5.491e-32 5.918e-32
 6.375e-32 6.858e-32 7.361e-32 7.785e-32 8.165e-32 8.546e-32 8.932e-32 9.322e-32
 9.720e-32 1.013e-31 1.050e-31 1.051e-31 1.080e-31 1.111e-31 1.143e-31 1.177e-31
 1.213e-31 1.250e-31 1.288e-31 1.317e-31 1.346e-31 1.378e-31 1.410e-31 1.444e-31
